"","census_trct","ZIP","county","Latitude","Longitude","community_cat","Ozone","ozone_pct","PM2.5","PM2.5_pct","Traffic","traffic_pct","tox","tox_pct","Asthma","cardio","LBW","Education","Poverty","PM2.5_mean","ozone_mean","Traffic_mean","tox_mean","cardio_mean","pol_score","pol_score1","county_name","score_mean"
"2572",6037131702,91335,"Los Angeles",34.2035942,-118.5476933,"No",0.06,85.21,10.37,52.61,934.85,64.29,459.9170796,49.49,75.99,11.07,6.1,29.8,39.5,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,62.9,6.76416819012797,"Los Angeles County",7.29365672829501
"2573",6037189102,90027,"Los Angeles",34.1126008,-118.2884331,"No",0.05,64.8,12.89,92.89,1713.57,86.98,2610.058291,71.21,51.93,11.2,5.56,2.6,26.5,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,78.97,8.49231100118292,"Los Angeles County",7.29365672829501
"2574",6037134101,91306,"Los Angeles",34.2143034,-118.5666433,"No",0.057,82.1,10.37,52.61,1162.38,74.02,438.4063628,48.77,53.58,9.39,5.5,31.3,44.1,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,64.375,6.92278739649425,"Los Angeles County",7.29365672829501
"2575",6037199300,90031,"Los Angeles",34.0941911,-118.2003961,"No",0.048,60.88,12.47,83.99,1729.07,87.24,3886.391149,76.39,36.36,4.91,3.23,30.4,42,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,77.125,8.29390257016884,"Los Angeles County",7.29365672829501
"2576",6037201503,90032,"Los Angeles",34.0851726,-118.1739007,"No",0.048,60.88,12.05,81.66,787.32,55.95,4765.920001,79.32,66.51,9.64,6.38,41.5,68.3,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,69.4525,7.46881385095172,"Los Angeles County",7.29365672829501
"2577",6073012402,91910,"San Diego",32.6430592,-117.0878962,"No",0.04,25.87,11.21,66.23,528.6,33.7,632.9994777,54.37,57.45,8.14,5.11,19.9,52.9,10.61353349126,0.0426762360446571,1065.619136,231.892956331011,6.233668261563,45.0425,4.84380040864609,"San Diego County",4.76004473599312
"2578",6013314200,94565,"Contra Costa",38.0467432,-121.9812128,"No",0.038,22.34,7.85958451,17.81,331.3,14.74,2717.177502,71.81,150.18,14.45,6.22,42.2,48.1,8.00943616516908,0.0363188405797101,855.181280788177,839.985559846377,8.5936231884058,31.675,3.40628024518765,"Contra Costa County",3.7785725145508
"2579",6065040606,91752,"Riverside ",33.9827133,-117.5145711,"No",0.062,91.1,14.57,95.13,331.08,14.73,4115.683787,77.18,43.34,11.82,3.87,44.9,52.8,10.1646414099117,0.0625364238410596,711.339247787611,1552.22717869158,10.3298675496689,69.535,7.47768577266373,"Riverside County",6.17751801744788
"2580",6059086901,92804,"Orange ",33.8246115,-118.0065042,"No",0.046,53.02,11.21,66.23,697.1,49.78,7738.73614,89.65,62.05,10.71,5.39,24,59.5,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,64.67,6.9545112377675,"Orange County",6.95433293568254
"2581",6029006301,93203,"Kern ",35.2236273,-118.83337,"No",0.065,98.18,16.24,97.73,257.72,9.06,23.52608439,12.88,29.95,6.53,5.46,64.9,62.6,16.4982270371523,0.0629403973509934,457.124421768707,293.573354799358,10.9727814569536,54.4625,5.85681256049038,"Kern County",6.25723781285823
"2582",6037107020,91342,"Los Angeles",34.2975505,-118.4504793,"No",0.06,85.21,11.21,66.23,556.19,36.96,569.1766009,52.91,59.2,7.3,4.83,35.4,36.7,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,60.3275,6.48752554038069,"Los Angeles County",7.29365672829501
"2583",6053001300,93901,"Monterey ",36.6748937,-121.6550382,"No",0.033,11.08,5.34450672,3.92,493.73,30.1,0.76349562,4.58,108.24,9.44,4.15,50.8,86.3,5.23345252086022,0.0348172043010753,444.023548387097,0.66996535416129,6.42354838709677,12.42,1.33562748682654,"Monterey County",1.3194273404355
