"","county_name","year","county_fips","hhpop","horate","medhhincome","long","lat","order","hole","piece","group","state_abbv","state_fips","fips_class","state_name","cardio_mean","pol_score","PM2.5_mean","ozone_mean"
"30","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.560855,37.818414,26637,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"31","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.556936,37.817218,26638,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"32","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.556959,37.743051,26639,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"33","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.556655,37.542732,26640,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"34","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.541833,37.530215,26641,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"35","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.50442,37.525863,26642,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"36","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.493183,37.502421,26643,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"37","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.469275,37.489688,26644,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"38","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.471925,37.481783,26645,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"39","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.472648,37.48217,26646,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"40","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.855762,37.484537,26647,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"41","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.925041,37.454186,26648,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"42","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.947087,37.467424,26649,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"43","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.975071,37.460639,26650,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"44","Alameda County",2015,"06001",571605,0.527495385799634,81000,-121.996671,37.467239,26651,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"45","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.04655427,37.45953736,26652,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
